Squad,season,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
NY Red Bulls,2018,29,34,1.56,0.06,0.03,12,11.7,2.74,11.7,10.7,11.9,0.06,0.12,0.03,120,13.9,13.3,51
NYCFC,2018,25,34,1.79,0.12,0,13.9,11,2.38,13.2,7.82,11.9,0.06,0.09,0.03,100.5,9.65,8.88,52.1
Orlando City,2018,30,34,1.97,0.15,0.03,10.8,11.9,2.53,12.1,8.38,11.9,0.15,0.18,0.06,87.2,8.26,9.71,46
Philadelphia,2018,24,34,1.68,0.12,0.09,12.2,10.5,1.68,12.4,8.97,10.4,0.12,0.15,0.03,90.2,11.9,9.76,55
Portland Timbers,2018,28,34,1.68,0.06,0.03,11.1,11.3,2.03,12.1,7.71,9.91,0.18,0.03,0.09,90.8,9.32,10.4,47.3
Real Salt Lake,2018,27,34,1.59,0,0,10.9,11.1,2.21,9.26,7.41,10.3,0.21,0.12,0.03,86.3,9.68,9.15,51.4
San Jose,2018,27,34,1.35,0.06,0.03,11.4,12.9,2.03,12.2,8.97,10.2,0.18,0.09,0,88.9,9.76,9.94,49.6
Seattle,2018,26,34,1.62,0.15,0.06,10.7,12.4,2.09,11.9,9.12,11.6,0.03,0.06,0.03,90,11.2,10.2,52.3
Sporting KC,2018,24,34,1.47,0.09,0.03,11.2,10.6,1.24,14.3,7.06,10,0.21,0.21,0.03,91.7,10.6,8.74,54.8
Toronto FC,2018,32,34,1.56,0.12,0.03,9,10.9,2.09,11.2,7.41,9.79,0.18,0.18,0,95.6,8.44,8.53,49.7
Vancouver,2018,25,34,1.71,0.21,0.06,12.4,11.4,2.15,13.4,8.85,11.3,0.15,0.24,0.09,87.8,10.8,10.4,50.8
Average,2018,27.09,34,1.71,0.11,0.04,11.75,11.18,2.09,11.90,8.44,10.70,0.14,0.15,0.04,91.11,9.79,9.78,49.96
